school_id,miur_code,score,school_name
"29435
",TNEE83208G,"4,0","

                
SCUOLA PRIMARIA COMMEZZADURA
            
"
"29436
",TNEE83207E,"4,0","

                
SCUOLA PRIMARIA PASSO TONALE
            
"
"29438
",TNEE83206D,"4,0","

                
SCUOLA PRIMARIA VERMIGLIO
            
"
"29439
",TNMM832017,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""C. ZANELLA"" FUCINE DI OSSANA
            
"
"29441
",TNEE86002D,"3,7","

                
SCUOLA PRIMARIA ""A.DE VALENTINI"" CALLIANO
            
"
"29442
",TNEE86003E,"3,7","

                
SCUOLA PRIMARIA ""G. TOVAZZI"" VOLANO
            
"
"29444
",TNMM86001B,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""ALTA VALLAGARINA"" VOLANO
            
"
"29446
",TNEE81605E,"4,0","

                
SCUOLA PRIMARIA  ""ABRAMO ANDREATTA"" BEDOLLO
            
"
"29447
",TNEE81601A,"5,0","

                
SCUOLA PRIMARIA ""G. DALLAFIOR"" BASELGA DI PINE'
            
"
"29449
",TNMM816019,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""DON GIUSEPPE TARTER""BASELGA DI PINE'
            
"
"29451
",TNEE840039,"5,0","

                
SCUOLA PRIMARIA ""G. SEGANTINI"" ARCO
            
"
"29452
",TNEE840017,"5,0","

                
SCUOLA PRIMARIA BOLOGNANO
            
"
"29454
",TNEE84004A,"5,0","

                
SCUOLA PRIMARIA ROMARZOLLO
            
"
"29455
",TNMM840016,"3,1","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""N. D'ARCO"" ARCO
            
"
"29607
",TNEE81402Q,"4,5","

                
SCUOLA PRIMARIA ""DON L. MILANI"" PERGINE VALSUGANA
            
"
"29611
",TNEE814071,"4,0","

                
SCUOLA PRIMARIA ZIVIGNAGO
            
"
"29612
",TNMM81401N,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""C. ANDREATTA"" PERGINE VALSUGANA
            
"
"29614
",TNEE81501E,"5,0","

                
SCUOLA PRIMARIA ""G. RODARI"" PERGINE VALSUGANA
            
"
"29615
",TNEE81502G,"5,0","

                
SCUOLA PRIMARIA CANALE
            
"
"29616
",TNEE81504N,"5,0","

                
SCUOLA PRIMARIA MADRANO
            
"
"29618
",TNMM81501D,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""T. GARBARI"" PERGINE VALSUGANA
            
"
"29633
",TNEE842031,"5,0","

                
SCUOLA PRIMARIA ""G. FEDRIGONI"" VARONE RIVA DEL GARDA
            
"
"29645
",TNEE85903A,"4,3","

                
SCUOLA PRIMARIA ""M. K. GANDHI"" ROVERETO
            
"
"29646
",TNMM859017,"4,3","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI"" ROVERETO
            
"
"29653
",TNEE80102N,"5,0","

                
SCUOLA PRIMARIA ""A. DEGASPERI"" PIEVE TESINO
            
"
"29655
",TNEE80104Q,"4,8","

                
SCUOLA PRIMARIA SAMONE
            
"
"29656
",TNEE80105R,"5,0","

                
SCUOLA PRIMARIA SCURELLE
            
"
"29657
",TNEE80106T,"5,0","

                
SCUOLA PRIMARIA STRIGNO
            
"
"29658
",TNEE80107V,"5,0","

                
SCUOLA PRIMARIA VILLA AGNEDO
            
"
"29659
",TNMM80102L,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""O. BRENTARI"" STRIGNO
            
"
"29564
",TNEE83704E,"5,0","

                
SCUOLA PRIMARIA CAMPO LOMASO
            
"
"29567
",TNMM83701A,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. PRATI"" PONTE ARCHE
            
"
"29574
",TNEE825037,"4,0","

                
SCUOLA PRIMARIA ""A. FRANK"" ZAMBANA
            
"
"29575
",TNEE825015,"4,5","

                
SCUOLA PRIMARIA ""DON G. GRAZIOLI"" LAVIS
            
"
"29576
",TNEE825026,"5,0","

                
SCUOLA PRIMARIA PRESSANO LAVIS
            
"
"29577
",TNMM825014,"4,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""A. STAINER"" LAVIS
            
"
"29581
",TNEE818012,"5,0","

                
SCUOLA PRIMARIA ""PADRE B. MARTINELLI"" CALCERANICA AL LAGO
            
"
"29582
",TNEE818034,"5,0","

                
SCUOLA PRIMARIA LEVICO TERME
            
"
"29583
",TNMM818011,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. DE GASPARIS"" LEVICO TERME
            
"
"29585
",TNEE82304L,"3,4","

                
SCUOLA PRIMARIA ""A. DEGASPERI"" MEZZOCORONA
            
"
"29588
",TNEE82301D,"5,0","

                
SCUOLA PRIMARIA GRUMO
            
"
"29589
",TNMM82301C,"4,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""E. CHINI"" MEZZOCORONA
            
"
"29593
",TNEE82407G,"3,0","

                
SCUOLA PRIMARIA ""L. Nicolussi"" MOLVENO
            
"
"29459
",TNMM847011,"3,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""D. ALIGHIERI"" AVIO
            
"
"29479
",TNEE812024,"4,0","

                
SCUOLA PRIMARIA GRIGNO
            
"
"29480
",TNMM812012,"4,3","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""ORA E VEGLIA"" BORGO VALSUGANA
            
"
"29481
",TNMM812023,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""S. FANTE"" GRIGNO
            
"
"29493
",TNEE82206V,"4,5","

                
SCUOLA PRIMARIA ""DON L. MILANI"" LASES
            
"
"29495
",TNEE822081,"4,0","

                
SCUOLA PRIMARIA ""P. SARTORI"" SOVER
            
"
"29499
",TNMM82201L,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""A. VIELMETTI"" CEMBRA
            
"
"29664
",TNEE826033,"3,8","

                
SCUOLA PRIMARIA TAIO
            
"
"29665
",TNMM826021,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" COREDO
            
"
"29666
",TNMM82601X,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" TAIO
            
"
"29677
",TNEE81901T,"3,3","

                
SCUOLA PRIMARIA ""U. MOGGIOLI"" POVO
            
"
"29678
",TNMM81901R,"3,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" POVO
            
"
"29680
",TNEE820012,"5,0","

                
SCUOLA PRIMARIA ""E. BERNARDI"" COGNOLA
            
"
"29681
",TNEE820045,"4,7","

                
SCUOLA PRIMARIA ""R. BELENZANI"" S.VITO
            
"
"29682
",TNEE820034,"5,0","

                
SCUOLA PRIMARIA ""R. ZANDONAI"" MARTIGNANO
            
"
"29684
",TNMM820011,"4,1","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""ARGENTARIO"" TRENTO
            
"
"29686
",TNEE85604X,"5,0","

                
SCUOLA PRIMARIA ""A. NICOLODI"" TRENTO
            
"
"29687
",TNEE85601R,"5,0","

                
SCUOLA PRIMARIA ""D. SAVIO"" TRENTO
            
"
"29688
",TNEE85602T,"3,0","

                
SCUOLA PRIMARIA ""G. B. DE GASPARI"" TRENTO
            
"
"29690
",TNMM85601Q,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""BRONZETTI - SEGANTINI"" TRENTO
            
"
"29692
",TNEE85701L,"4,1","

                
SCUOLA PRIMARIA CLARINA TRENTO
            
"
"29693
",TNEE85702N,"5,0","

                
SCUOLA PRIMARIA LOCALITA' MADONNA BIANCA TRENTO
            
"
"29694
",TNEE85703P,"3,5","

                
SCUOLA PRIMARIA OSPEDALE INFANTILE TRENTO
            
"
"29695
",TNMM85701G,"3,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""O. WINKLER"" TRENTO
            
"
"29700
",TNEE85201D,"4,5","

                
SCUOLA PRIMARIA ""R. SANZIO"" TRENTO
            
"
"29702
",TNMM85201C,"2,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""G. BRESADOLA"" TRENTO
            
"
"29762
",TNTD002505,"4,5","

                
ISTITUTO PROFESSIONALE PER I SERVIZI SANITARI SERALE
            
"
"29763
",TNTD00201R,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29764
",TNTD002505,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29765
",TNTD00201R,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29766
",TNTD002505,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29767
",TNPS002011,"4,5","

                
LICEO DELLE SCIENZE UMANE
            
"
"29768
",TNPS002011,"4,5","

                
LICEO SCIENTIFICO
            
"
"29769
",TNPS002011,"4,5","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29773
",TNTD00701X,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29774
",TNTD007519,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29775
",TNTD00701X,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29776
",TNTD007519,"4,5","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29777
",TNPS007014,"4,5","

                
LICEO DELLE SCIENZE UMANE
            
"
"29778
",TNPS007014,"4,5","

                
LICEO LINGUISTICO
            
"
"29779
",TNPS007014,"4,5","

                
LICEO SCIENTIFICO
            
"
"29780
",TNPS007014,"4,5","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29791
",TNCT703003,"3,6","

                
EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO
            
"
"29792
",TNRC004015,"1,0","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO - LEVICO
            
"
"29793
",TNTD00401C,"3,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PERGINE
            
"
"29794
",TNTD00450R,"3,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29795
",TNTD00401C,"3,6","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29796
",TNTD00450R,"3,6","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29797
",TNPS00401L,"3,6","

                
LICEO DELLE SCIENZE UMANE
            
"
"29798
",TNPS00401L,"3,6","

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
            
"
"29799
",TNPS00401L,"3,6","

                
LICEO LINGUISTICO
            
"
"29800
",TNPS00401L,"3,6","

                
LICEO SCIENTIFICO
            
"
"29371
",nan,"4,5","

                
Scuola dell'Infanzia di Zambana ""Girotondo""
            
"
"29381
",nan,"5,0","

                
Scuola dell'Infanzia di S.Michele all' Adige  ""Il Germoglio""
            
"
"29243
",TN1M00900P,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""LA VELA"" ROVERETO
            
"
"29862
",TNCF011001,"4,3","

                
SETTORE SERVIZI
            
"
"29863
",nan,"4,3","

                
SETTORE SERVIZI SERALE
            
"
"92004
",TNCF011001,"4,3","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"122612
",TNCF010001,"4,1","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29859
",TNCF010001,"4,1","

                
SETTORE SERVIZI
            
"
"76225
",nan,"4,1","

                
SETTORE SERVIZI SERALE
            
"
"29531
",TNTD170007,"4,3","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29532
",TNTD170007,"4,3","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29534
",TNPS100005,"4,3","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29537
",TNEE81001B,"4,3","

                
SCUOLA PRIMARIA ""F. LOSS"" CANAL SAN BOVO
            
"
"29539
",TNMM81002B,"4,3","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI""  - FIERA DI PRIMIERO
            
"
"29604
",TNMM84901L,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""B. MALFATTI"" MORI
            
"
"29847
",TNCT702007,"2,8","

                
EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO
            
"
"29848
",TNTD00801Q,"2,8","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29849
",TNTD008515,"2,8","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29850
",TNTD00801Q,"2,8","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29851
",TNTD008515,"2,8","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29866
",nan,"3,6","

                
SETTORE INDUSTRIA E ARTIGIANATO SERALE
            
"
"29867
",TNCF012001,"4,3","

                
SETTORE SERVIZI
            
"
"29868
",nan,"4,3","

                
SETTORE SERVIZI SERALE
            
"
"29462
",TNEE82901C,"5,0","

                
SCUOLA PRIMARIA ""M. PEZZI"" CAMPODENNO
            
"
"29463
",TNEE82903E,"5,0","

                
SCUOLA PRIMARIA ""MONS. S. WEBER"" DENNO
            
"
"29464
",TNEE82907P,"5,0","

                
SCUOLA PRIMARIA ""V. Maistrelli"" TUENNO
            
"
"29467
",TNEE82905L,"5,0","

                
SCUOLA PRIMARIA VIGO TON
            
"
"29469
",TNMM82901B,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""V. VIELMETTI"" DENNO
            
"
"29714
",TNEE85103Q,"4,3","

                
SCUOLA PRIMARIA ""PIGARELLI"" GARDOLO TRENTO
            
"
"29715
",TNEE85104R,"5,0","

                
SCUOLA PRIMARIA ""S. ANNA"" GARDOLO TRENTO
            
"
"29716
",TNMM85101L,"2,3","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""S. PEDROLLI"" GARDOLO TRENTO
            
"
"29811
",TNRC009018,"4,6","

                
ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI
            
"
"29812
",TNRC00951N,"4,6","

                
ISTITUTO PROFESSIONALE PER IL SETTORE DEI SERVIZI SERALE
            
"
"29813
",TNTD00901G,"4,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29814
",TNTD00950X,"4,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29870
",TNPC01000Q,"3,4","

                
LICEO CLASSICO
            
"
"29871
",TNPC01000Q,"3,4","

                
LICEO DELLE SCIENZE UMANE
            
"
"29872
",TNPC01000Q,"3,4","

                
LICEO LINGUISTICO
            
"
"29873
",TNPC01000Q,"3,4","

                
LICEO MUSICALE E COREUTICO
            
"
"29874
",TNPC01000Q,"3,4","

                
LICEO SCIENTIFICO
            
"
"29875
",TNPC01000Q,"3,4","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29649
",TNEE855011,"4,8","

                
SCUOLA PRIMARIA ""D. ALIGHIERI"" ROVERETO
            
"
"29650
",TNEE855022,"4,5","

                
SCUOLA PRIMARIA ""F. GUELLA"" LIZZANA
            
"
"29651
",TNMM85501X,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""F. HALBHERR"" ROVERETO
            
"
"29522
",TNMM83101B,"4,5","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""V. Inama"" CLES
            
"
"29899
",TNPS11000Q,"2,7","

                
LICEO LINGUISTICO
            
"
"29626
",TNEE841013,"4,0","

                
SCUOLA PRIMARIA ""N. PERNICI"" RIVA DEL GARDA
            
"
"29630
",TNMM841012,"4,2","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""D. CHIESA"" RIVA DEL GARDA
            
"
"29570
",TNEE84502B,"4,0","

                
SCUOLA PRIMARIA ""F.lli FILZI"" ROVERETO
            
"
"29572
",TNMM845019,"3,4","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""A. DEGASPERI"" ROVERETO
            
"
"29640
",TNEE85302A,"5,0","

                
SCUOLA PRIMARIA ""REGINA ELENA"" ROVERETO
            
"
"29642
",TNMM853018,"4,8","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""D. CHIESA"" ROVERETO
            
"
"92010
",nan,"4,4","

                
Scuola dell'Infanzia di Trento ""Sacro Cuore""
            
"
"29390
",nan,"1,0","

                
Scuola dell'Infanzia di Riva  ""Rione 2 giugno""
            
"
"29391
",nan,"5,0","

                
Scuola dell'Infanzia di Romarzollo
            
"
"29393
",nan,"5,0","

                
Scuola dell'Infanzia di Zuclo Bolbeno
            
"
"29363
",nan,"5,0","

                
Scuola dell'Infanzia di Trento Roncafort  ""Margit Levinson""
            
"
"29313
",nan,"5,0","

                
Scuola dell'Infanzia di Cavareno ""Peter Pan""
            
"
"29317
",nan,"3,0","

                
Scuola dell'Infanzia di Mione Rumo
            
"
"29343
",nan,"4,5","

                
Scuola dell'Infanzia di Trento  Villazzano 3  ""L'officina degli gnomi""
            
"
"29344
",nan,"5,0","

                
Scuola dell'Infanzia di Trento Clarina   ""Piccolo mondo""
            
"
"29347
",nan,"5,0","

                
Scuola dell'Infanzia di Trento S.Martino
            
"
"29310
",nan,"4,0","

                
Scuola dell'Infanzia di Rovereto Rione Nord ""Mille colori""
            
"
"29926
",nan,"4,0","

                
Scuola dell'Infanzia di Ala
            
"
"30016
",nan,"5,0","

                
Scuola dell'Infanzia di Lavis  ""Madre Maddalena di Canossa""
            
"
"30180
",nan,"4,5","

                
Scuola dell'Infanzia di Trento  ""A. Tambosi""
            
"
"30190
",nan,"5,0","

                
Scuola dell'Infanzia di Trento ""G.B. Zanella""
            
"
"92006
",nan,"5,0","

                
Scuola dell'Infanzia di Cavalese
            
"
"29992
",nan,"5,0","

                
Scuola dell'Infanzia di Daone
            
"
"29924
",nan,"5,0","

                
Scuola dell'Infanzia di Breguzzo - Bondo  ""Giuseppina Bonazza""
            
"
"29411
",TNCF006001,"4,7","

                
SETTORE AGRICOLTURA E AMBIENTE
            
"
"29256
",TNFP252STA,"5,0","

                
SETTORE SERVIZI
            
"
"29251
",TNFP250STA,"4,3","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
